greek_830_title;The City of Adrianopolis;La ville d'Adrianopolis;Die Stadt von Adrianopolis;Miasto Adrianopolis;La Ciudad de Adrianópolis;La città di Adrianopoli;A City of Adrianopolis;Mesto Adrianopolis;A City of Adrianopolis;De stad Adrianopolis;A Cidade de Adrianópolis;????? ????????????;Kaupunki Adrianopolis;x
turk_hudav_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of the Hudavendigar but the local administration forgot this;Les grands Seldjoukides et le sultan des Ottomans sont les dirigeants de l'Hudavendigar, mais l'administration locale a oublié cela;Die Großen Seljuken und der Sultan der Osmanen sind die Herrscher des Hudavendigar, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa przelozeni Hudavendigar ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes del Hudavendigar, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i governanti del Hudavendigar ma l'amministrazione locale di questo dimenticato;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Hudavendigar de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou pravítka Hudavendigar ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Hudavendigar de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van de Hudavendigar maar de lokale overheid vergat deze;Os Grandes Seljúcidas e o Sultão dos Otomanos são os governantes do Hudavendigar, mas a administração local esqueceu isso;??????? ????????? ? ?????? ????????? ??????? ???????? ????????? ????????????, ?? ??????? ????????????? ?????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Hudavendigar mutta paikallinen hallinto unohti tämän;x
greek_aydin_title;The Theme of Tralles;Le thème de Tralles;Das Thema von Tralles;Tematem Tralles;El Tema de Tralles;Il tema di Tralles;A téma a Tralles;Téma Tralles;A téma a Tralles;Het thema van Tralles;O Tema de Tralles;???? ???????;Teema Tralleslainen;x
greek_aydin_desc;The Tralles is now in the hands of the heritage of Augustus. Let's remind the local administration about it;Le Tralles est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Die Tralles ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Tralles jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;El Tralles está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;Il Tralles è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;A Tralles van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Tralles je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;A Tralles van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;De Tralles is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;O Tralles está agora nas mãos da herança de Augustus. Vamos lembrar à administração local sobre isso;????????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Tralleslainen on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_aydin_title;The Iller of Aydin;L'Iller d'Aydin;Das Iller von Aydin;Iller aydin;El Iller de Aydin;Iller di Aydin;Iller Aydin;Iller Aydin;Iller Aydin;De Iller van Aydin;O Iller de Aydin;????? ?????;Iller Aydin;x
turk_aydin_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of the Aydin but the local administration forgot this;Les Grands Seldjoukides et le Sultan des Ottomans sont les dirigeants de l'Aydin, mais l'administration locale a oublié cela;Die Großen Seljuken und der Sultan der Osmanen sind die Herrscher der Aydin, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa przelozeni Aydin ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes de Aydin, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i governanti del Aydin, ma l'amministrazione locale dimenticato questo;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Aydin de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou pravítka Aydin ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Aydin de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van de Aydin, maar de lokale overheid vergat deze;Os Grandes Seljúcidas e o Sultão dos Otomanos são os governantes dos Aydin, mas a administração local esqueceu isso;??????? ????????? ? ?????? ????????? ??????? ???????? ????????? ?????, ?? ??????? ????????????? ?????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Aydin mutta paikallinen hallinto unohti tämän;x
greek_konya_title;The Theme of Ikonion;Le thème d'Ikonion;Das Thema von Ikonion;Tematem Ikonium;El tema de Ikonion;Il tema di Ikonion;A téma a Ikonion;Téma Ikonion;A téma a Ikonion;Het thema van Ikonion;O Tema de Ikonion;???? ???????;Teema Ikonion;x
greek_konya_desc;The Ikonion is now in the hands of the heritage of Augustus. Let's remind the local administration about it;L'Ikonion est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Das Ikonion ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Ikonium jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;El Ikonion está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;Il Ikonion è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;A Ikonion van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Ikonion je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;A Ikonion van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;De Ikonion is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;O Ikonion está agora nas mãos da herança de Augustus. Vamos lembrar a administração local sobre isso;??????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Ikonion on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_konya_title;The Iller of Konya;L'Iller de Konya;Der Iller von Konya;Iller Konya;El Iller de Konya;Iller di Konya;Iller Konya;Iller Konya;Iller Konya;De Iller van Konya;O Iller de Konya;????? ?????;Iller Konya;x
turk_konya_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of the Konya but the local administration forgot this;Les Grands Seldjoukides et le Sultan des Ottomans sont les dirigeants de la Konya, mais l'administration locale a oublié cela;Die Großen Seljuken und der Sultan der Osmanen sind die Herrscher der Konya, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa przelozeni Konya ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes de la Konya, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i governanti del Konya, ma l'amministrazione locale dimenticato questo;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Konya de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou pravítka Konya ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak a hatalmon levo Konya de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van de Konya, maar de lokale overheid vergat deze;Os Grandes Seljúcidas e o Sultão dos Otomanos são os governantes dos Konya, mas a administração local esqueceu este;??????? ????????? ? ?????? ????????? ??????? ???????? ????????? ?????, ?? ??????? ????????????? ????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Konya mutta paikallinen hallinto unohti tämän;x
greek_ankara_title;The Theme of Ancyra;Le thème d'Ancyra;Das Thema von Ancyra;Tematem Ancyry;El Tema de Ancyra;Il tema di Ancira;A téma a Ancyra;Téma Ancyra;A téma a Ancyra;Het thema van Ancyra;O Tema de Ancyra;???? ?????????;Teema Ancyra;x
greek_ankara_desc;The Theme of Ancyra is now in the hands of the heritage of Augustus. Let's remind the local administration about it;Le thème d'Ancyra est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Das Thema von Ancyra ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Tematem Ancyry jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;El Tema de Ancyra está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;Il tema di Ancira è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;A téma a Ancyra van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Téma Ancyra je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;A téma a Ancyra van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Het thema van Ancyra is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;O Tema de Ancyra está agora nas mãos da herança de Augusto. Vamos lembrar a administração local sobre isso;???? ????????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Teema Ancyra on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_ankara_title;The Iller of Ankara;L'Iller d'Ankara;Der Iller von Ankara;Iller Ankara;El Iller de Ankara;Iller di Ankara;Iller Ankara;Iller Ankary;Iller Ankara;De Iller van Ankara;O Iller de Ancara;????? ??????;Iller Ankara;x
turk_ankara_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of Ankara but the local administration forgot this;Les grands Seldjoukides et le sultan des Ottomans sont les dirigeants d'Ankara, mais l'administration locale a oublié cela;Die Großen Seljuken und der Sultan der Osmanen sind die Herrscher von Ankara, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa wladcami Ankarze ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes de Ankara, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i governanti di Ankara, ma l'amministrazione locale dimenticato questo;A Nagy Seljuks és a szultán a törökök vannak az uralkodók Ankara de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou vládci Ankary ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak az uralkodók Ankara de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van Ankara, maar het lokale bestuur vergat deze;Os Grandes Seljúcidas e o Sultão dos Otomanos são os governantes de Ancara, mas a administração local esqueceu isso;??????? ????????? ? ?????? ????????? ??????? ????????? ??????, ?? ??????? ????????????? ?????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Ankaran mutta paikallinen hallinto unohti tämän;x
greek_trabzon_title;The Theme of Trebizond;Le thème de Trebizond;Das Thema von Trebizond;Tematem Trebizondy;El tema de Trebizond;Il tema di Trebisonda;A téma a Trebizond;Téma Trebizond;A téma a Trebizond;Het thema van Trebizond;O Tema de Trebizond;???? ??????????;Teema Trebizond;x
greek_trabzon_desc;The Trebizond is now in the hands of the heritage of Augustus. Let's remind the local administration about it;La Trebizonde est maintenant entre les mains de l'héritage d'Auguste. Rappelons l'administration locale;Der Trebizond ist jetzt in den Händen des Erbes des Augustus. Lassen Sie uns die lokale Verwaltung daran erinnern;Trebizondy jest teraz w rekach dziedzictwa Augusta. Przypomnijmy lokalna administracje o nim;El Trebizond está ahora en manos de la herencia de Augusto. Recordemos a la administración local sobre ello;Il Trebisonda è ora nelle mani del patrimonio di Augusto. Ricordiamo l'amministrazione locale su di esso;A Trebizond van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;Trebizond je nyní v rukou dedictví Augusta. Pripomenme místní správy o tom;A Trebizond van most a kezében az örökség Augustus. Nézzük emlékeztetni a helyi közigazgatás róla;De Trebizonde is nu in handen van het erfgoed van Augustus. Laten we herinneren aan het lokale bestuur over;O Trebizond está agora nas mãos da herança de Augustus. Vamos lembrar a administração local sobre isso;????????? ?????? ????????? ? ????? ???????? ????????. ???????? ??????? ????????????? ?? ????;Trebizond on nyt käsissä perintöä Augustus. Oletetaan muistuttaa paikallishallinto siitä;x
turk_trabzon_title;The Iller of Trabzon;L'Iller de Trabzon;Der iller von Trabzon;Iller Trabzon;El Iller de Trabzon;Iller di Trabzon;Iller Trabzon;Iller Trabzon;Iller Trabzon;De Iller van Trabzon;O Iller de Trabzon;????? ????????;Iller Trabzon;x
turk_trabzon_desc;The Great Seljuks and the Sultan of the Ottomans are the rulers of Trabzon but the local administration forgot this;Les Grands Seldjoukides et le Sultan des Ottomans sont les dirigeants de Trabzon, mais l'administration locale a oublié cela;Die Großen Seljuken und der Sultan der Osmanen sind die Herrscher von Trabzon, aber die örtliche Verwaltung hat das vergessen;Wielkie Seldzukowie i Sultan Turków sa wladcami Trabzon, ale lokalna administracja zapomnial tego;Los grandes seljúcidas y el sultán de los otomanos son los gobernantes de Trabzon, pero la administración local olvidó esto;Le Grandi Selgiuchidi e il Sultano degli Ottomani sono i dominatori di Trabzon, ma l'amministrazione locale dimenticato questo;A Nagy Seljuks és a szultán a törökök vannak az uralkodók Trabzon de a helyi közigazgatás felejtette;The Great Seljuks a Sultan pohovek jsou vládci Trabzon ale místní správa zapomnel toto;A Nagy Seljuks és a szultán a törökök vannak az uralkodók Trabzon de a helyi közigazgatás felejtette;The Great Seljuks en de Sultan van de Ottomanen zijn de heersers van Trabzon, maar het lokale bestuur vergat deze;Os Grandes Seljúcidas e o Sultão dos Otomanos são os governantes de Trabzon, mas a administração local esqueceu isso;??????? ????????? ? ?????? ????????? ??????? ???????? ????????? ????????, ?? ??????? ????????????? ?????? ???;Suuri Seljuks ja sulttaanin ottomaanien ovat hallitsijat Trabzon mutta paikallinen hallinto unohti tämän;x
french_nyc_title;The Ville of Nouvelle-Anjou;La Ville de Nouvelle-Anjou;Die Ville von Nouvelle-Anjou;Ville Nouvelle-Anjou;La Ciudad de Nouvelle-Anjou;La Ville di Nouvelle-Anjou;A Ville Nouvelle-Anjou;Ville z Nouvelle-Anjou;A Ville Nouvelle-Anjou;De Ville Nouvelle-Anjou;A Cidade de Nouvelle-Anjou;???? ?? ????????-????;Ville Nouvelle-Anjou;x
french_nyc_desc;The main city in New England is under our control. Shouldn't it have the correct name?;La ville principale de la Nouvelle-Angleterre est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von New England steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Nowej Anglii jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal en Nueva Inglaterra está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale di New England è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Nové Anglii je pod naší kontrolou. By to nemelo mít správný název?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in New England is onder onze controle. Mocht het niet de juiste naam?;A principal cidade da Nova Inglaterra está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ????? ?????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki New England on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
german_nyc_title;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;Neupreußen Stadt;?????????? ?????;Neupreußen Stadt;x
german_nyc_desc;The main city in New England is under our control. Shouldn't it have the correct name?;La ville principale de la Nouvelle-Angleterre est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von New England steht unter unserer Kontrolle. Sollte es nicht den korrekten Namen haben?;Glównym miastem w Nowej Anglii jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal en Nueva Inglaterra está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale di New England è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Nové Anglii je pod naší kontrolou. By to nemelo mít správný název?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in New England is onder onze controle. Mocht het niet de juiste naam?;A principal cidade da Nova Inglaterra está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ????? ?????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki New England on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
dutch_nyc_title;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;Nieuw Amsterdam Plaats;?? ????????? ??????;Nieuw Amsterdam Plaats;x
dutch_nyc_desc;The main city in New England is under our control. Shouldn't it have the correct name?;La ville principale de la Nouvelle-Angleterre est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von New England steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Nowej Anglii jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal en Nueva Inglaterra está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale di New England è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Nové Anglii je pod naší kontrolou. By to nemelo mít správný název?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in New England is onder onze controle. Mocht het niet de juiste naam?;A principal cidade da Nova Inglaterra está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ????? ?????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki New England on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
italian_nyc_title;La Città di Nuova Milano;La Città di Nuova Milano;La Città di Nuova Milano;La Città di Milano Nuova;La Città di Nuova Milano;La Città di Nuova Milano;La Città di Milano Nuova;La Città di Milano Nuova;La Città di Milano Nuova;La Città di Nuova Milano;La Città di Nuova Milano;?? ????? ?? ????? ??????;La Città di Nuova Milano;x
italian_nyc_desc;The main city in New England is under our control. Shouldn't it have the correct name?;La ville principale de la Nouvelle-Angleterre est sous notre contrôle. Ne devrait-il pas avoir le nom correct?;Die Hauptstadt von New England steht unter unserer Kontrolle. Sollte es nicht den richtigen Namen haben?;Glównym miastem w Nowej Anglii jest pod nasza kontrola. Nie powinien on miec poprawna nazwe?;La ciudad principal en Nueva Inglaterra está bajo nuestro control. ¿No debería tener el nombre correcto?;La città principale di New England è sotto il nostro controllo. Non dovrebbe avere il nome corretto?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;Hlavní mesto v Nové Anglii je pod naší kontrolou. By to nemelo mít správný název?;A város fo New England az ellenorzésünk alatt. Ha nem lenne meg a megfelelo név?;De belangrijkste stad in New England is onder onze controle. Mocht het niet de juiste naam?;A principal cidade da Nova Inglaterra está sob nosso controle. Não deveria ter o nome correto?;??????? ????? ? ????? ?????? ????????? ??? ????? ?????????. ?? ?????? ?? ??? ????? ?????????? ????;Tärkein kaupunki New England on hallinnassamme. Eikö sen pitäisi olla oikea nimi?;x
